State/Area,Population,Labor Force,Labor Force %,Employed,Employment of Tot Pop %,Unemployed,Unemployment Rate,Date
Nebraska,1168000,790679,67.7,741588,63.5,49091,6.2,1982-12-01
Nevada,665000,483360,72.7,430987,64.8,52373,10.8,1982-12-01
New Hampshire,715000,489191,68.4,455905,63.8,33286,6.8,1982-12-01
New Jersey,5743000,3641983,63.4,3311259,57.7,330724,9.1,1982-12-01
New Mexico,979000,603119,61.6,540621,55.2,62498,10.4,1982-12-01
New York,13501000,7975272,59.1,7238089,53.6,737183,9.2,1982-12-01
New York city,5633000,3061030,54.3,2756543,48.9,304487,9.9,1982-12-01
North Carolina,4461000,2923572,65.5,2631397,59.0,292175,10.0,1982-12-01
North Dakota,483000,318480,65.9,298828,61.9,19652,6.2,1982-12-01
Ohio,8041000,5122541,63.7,4406230,54.8,716311,14.0,1982-12-01
Oklahoma,2385000,1514114,63.5,1390621,58.3,123493,8.2,1982-12-01
Oregon,2004000,1339362,66.8,1180510,58.9,158852,11.9,1982-12-01
Pennsylvania,9161000,5490855,59.9,4797120,52.4,693735,12.6,1982-12-01
Rhode Island,733000,473376,64.6,426422,58.2,46954,9.9,1982-12-01
South Carolina,2323000,1486711,64.0,1311403,56.5,175308,11.8,1982-12-01
South Dakota,501000,333086,66.5,313372,62.5,19714,5.9,1982-12-01
Tennessee,3490000,2158595,61.9,1880911,53.9,277684,12.9,1982-12-01
Texas,11123000,7543336,67.8,6919409,62.2,623927,8.3,1982-12-01
Utah,1031000,681172,66.1,617292,59.9,63880,9.4,1982-12-01
Vermont,389000,263818,67.8,244603,62.9,19215,7.3,1982-12-01
Virginia,4047000,2686503,66.4,2474205,61.1,212298,7.9,1982-12-01
Washington,3171000,2047070,64.6,1799360,56.7,247710,12.1,1982-12-01
West Virginia,1467000,758901,51.7,620349,42.3,138552,18.3,1982-12-01
Wisconsin,3539000,2432867,68.7,2145378,60.6,287489,11.8,1982-12-01
Wyoming,361000,261460,72.4,239100,66.2,22360,8.6,1982-12-01
Alabama,2901000,1739659,60.0,1471782,50.7,267877,15.4,1983-01-01
Alaska,307000,222970,72.6,200033,65.2,22937,10.3,1983-01-01
Arizona,2156000,1368306,63.5,1213496,56.3,154810,11.3,1983-01-01
Arkansas,1708000,1029367,60.3,923004,54.0,106363,10.3,1983-01-01
California,18584000,12240776,65.9,10898047,58.6,1342729,11.0,1983-01-01
Los Angeles County,5869000,3796448,64.7,3385243,57.7,411205,10.8,1983-01-01
Colorado,2289000,1639050,71.6,1501103,65.6,137947,8.4,1983-01-01
Connecticut,2425000,1610953,66.4,1497699,61.8,113254,7.0,1983-01-01
Delaware,453000,294034,64.9,270255,59.7,23779,8.1,1983-01-01
District of Columbia,484000,312470,64.6,277799,57.4,34671,11.1,1983-01-01
Florida,8286000,4806797,58.0,4352322,52.5,454475,9.5,1983-01-01
Georgia,4119000,2677278,65.0,2446265,59.4,231013,8.6,1983-01-01
Hawaii,699000,467731,66.9,437871,62.6,29860,6.4,1983-01-01
Idaho,685000,449324,65.6,404026,59.0,45298,10.1,1983-01-01
Illinois,8568000,5618866,65.6,4884183,57.0,734683,13.1,1983-01-01
Indiana,4051000,2586314,63.8,2264195,55.9,322119,12.5,1983-01-01
Iowa,2158000,1423309,66.0,1294251,60.0,129058,9.1,1983-01-01
Kansas,1778000,1197373,67.3,1115719,62.8,81654,6.8,1983-01-01
Kentucky,2710000,1700816,62.8,1496580,55.2,204236,12.0,1983-01-01
Louisiana,3141000,1872974,59.6,1655596,52.7,217378,11.6,1983-01-01
Maine,848000,526547,62.1,480569,56.7,45978,8.7,1983-01-01
Maryland,3237000,2175594,67.2,2001177,61.8,174417,8.0,1983-01-01
Massachusetts,4457000,2980912,66.9,2755581,61.8,225331,7.6,1983-01-01
Michigan,6731000,4289101,63.7,3586193,53.3,702908,16.4,1983-01-01
Minnesota,3078000,2169076,70.5,1976498,64.2,192578,8.9,1983-01-01
Mississippi,1821000,1062844,58.4,929534,51.0,133310,12.5,1983-01-01
Missouri,3715000,2329296,62.7,2084532,56.1,244764,10.5,1983-01-01
Montana,593000,392881,66.3,358248,60.4,34633,8.8,1983-01-01
Nebraska,1169000,791232,67.7,741460,63.4,49772,6.3,1983-01-01
Nevada,665000,484050,72.8,431650,64.9,52400,10.8,1983-01-01
New Hampshire,715000,489872,68.5,457089,63.9,32783,6.7,1983-01-01
New Jersey,5749000,3638955,63.3,3310366,57.6,328589,9.0,1983-01-01
New Mexico,981000,603937,61.6,540609,55.1,63328,10.5,1983-01-01
New York,13508000,7975079,59.0,7232729,53.5,742350,9.3,1983-01-01
New York city,5638000,3056688,54.2,2752308,48.8,304380,10.0,1983-01-01
North Carolina,4464000,2918516,65.4,2624923,58.8,293593,10.1,1983-01-01
North Dakota,484000,318838,65.9,298995,61.8,19843,6.2,1983-01-01
Ohio,8039000,5115824,63.6,4400187,54.7,715637,14.0,1983-01-01
Oklahoma,2391000,1517884,63.5,1389288,58.1,128596,8.5,1983-01-01
Oregon,2005000,1340994,66.9,1183865,59.0,157129,11.7,1983-01-01
Pennsylvania,9163000,5483364,59.8,4784973,52.2,698391,12.7,1983-01-01
Rhode Island,734000,473304,64.5,427247,58.2,46057,9.7,1983-01-01
South Carolina,2326000,1487706,64.0,1312483,56.4,175223,11.8,1983-01-01
South Dakota,501000,333170,66.5,313542,62.6,19628,5.9,1983-01-01
Tennessee,3492000,2158636,61.8,1880606,53.9,278030,12.9,1983-01-01
Texas,11149000,7560844,67.8,6924652,62.1,636192,8.4,1983-01-01
Utah,1034000,682025,66.0,617215,59.7,64810,9.5,1983-01-01
Vermont,389000,263783,67.8,244573,62.9,19210,7.3,1983-01-01
Virginia,4052000,2690087,66.4,2479873,61.2,210214,7.8,1983-01-01
Washington,3173000,2045662,64.5,1800701,56.8,244961,12.0,1983-01-01
West Virginia,1468000,760955,51.8,619237,42.2,141718,18.6,1983-01-01
Wisconsin,3539000,2428275,68.6,2140458,60.5,287817,11.9,1983-01-01
Wyoming,361000,262367,72.7,238920,66.2,23447,8.9,1983-01-01
Alabama,2903000,1739908,59.9,1476061,50.8,263847,15.2,1983-02-01
Alaska,310000,224904,72.5,201905,65.1,22999,10.2,1983-02-01
Arizona,2163000,1368580,63.3,1217823,56.3,150757,11.0,1983-02-01
Arkansas,1709000,1027484,60.1,921532,53.9,105952,10.3,1983-02-01
California,18606000,12233629,65.8,10902095,58.6,1331534,10.9,1983-02-01
Los Angeles County,5878000,3795078,64.6,3385476,57.6,409602,10.8,1983-02-01
Colorado,2295000,1644532,71.7,1507559,65.7,136973,8.3,1983-02-01
Connecticut,2426000,1610068,66.4,1498844,61.8,111224,6.9,1983-02-01
Delaware,454000,293997,64.8,270226,59.5,23771,8.1,1983-02-01
District of Columbia,483000,313615,64.9,278500,57.7,35115,11.2,1983-02-01
Florida,8306000,4811180,57.9,4357241,52.5,453939,9.4,1983-02-01
Georgia,4124000,2674326,64.8,2447222,59.3,227104,8.5,1983-02-01
Hawaii,701000,468499,66.8,438196,62.5,30303,6.5,1983-02-01
Idaho,686000,449604,65.5,405146,59.1,44458,9.9,1983-02-01
Illinois,8570000,5610337,65.5,4877115,56.9,733222,13.1,1983-02-01
Indiana,4052000,2574814,63.5,2259483,55.8,315331,12.2,1983-02-01
Iowa,2159000,1420898,65.8,1292835,59.9,128063,9.0,1983-02-01
Kansas,1780000,1193572,67.1,1114157,62.6,79415,6.7,1983-02-01
Kentucky,2713000,1700021,62.7,1495184,55.1,204837,12.0,1983-02-01
Louisiana,3146000,1878630,59.7,1655971,52.6,222659,11.9,1983-02-01
Maine,849000,528599,62.3,482121,56.8,46478,8.8,1983-02-01
Maryland,3239000,2177888,67.2,2006182,61.9,171706,7.9,1983-02-01
Massachusetts,4460000,2977257,66.8,2755279,61.8,221978,7.5,1983-02-01
Michigan,6727000,4282617,63.7,3592243,53.4,690374,16.1,1983-02-01
Minnesota,3080000,2169708,70.4,1978461,64.2,191247,8.8,1983-02-01
Mississippi,1822000,1062567,58.3,927178,50.9,135389,12.7,1983-02-01
Missouri,3717000,2331375,62.7,2084823,56.1,246552,10.6,1983-02-01
Montana,593000,393418,66.3,358755,60.5,34663,8.8,1983-02-01
Nebraska,1170000,791270,67.6,741480,63.4,49790,6.3,1983-02-01
Nevada,666000,484632,72.8,432647,65.0,51985,10.7,1983-02-01
New Hampshire,716000,490976,68.6,458972,64.1,32004,6.5,1983-02-01
New Jersey,5754000,3635797,63.2,3312234,57.6,323563,8.9,1983-02-01
New Mexico,984000,604812,61.5,541125,55.0,63687,10.5,1983-02-01
New York,13516000,7976511,59.0,7234185,53.5,742326,9.3,1983-02-01
New York city,5644000,3052684,54.1,2749802,48.7,302882,9.9,1983-02-01
North Carolina,4468000,2914754,65.2,2622065,58.7,292689,10.0,1983-02-01
North Dakota,484000,319114,65.9,299268,61.8,19846,6.2,1983-02-01
Ohio,8037000,5107749,63.6,4399171,54.7,708578,13.9,1983-02-01
Oklahoma,2397000,1522172,63.5,1389713,58.0,132459,8.7,1983-02-01
Oregon,2005000,1341156,66.9,1187207,59.2,153949,11.5,1983-02-01
Pennsylvania,9166000,5476306,59.7,4779674,52.1,696632,12.7,1983-02-01
Rhode Island,734000,473682,64.5,428766,58.4,44916,9.5,1983-02-01
South Carolina,2329000,1487637,63.9,1314447,56.4,173190,11.6,1983-02-01
South Dakota,502000,333104,66.4,313705,62.5,19399,5.8,1983-02-01
Tennessee,3494000,2157691,61.8,1882262,53.9,275429,12.8,1983-02-01
Texas,11176000,7574330,67.8,6932802,62.0,641528,8.5,1983-02-01
Utah,1037000,682974,65.9,617517,59.5,65457,9.6,1983-02-01
Vermont,390000,263803,67.6,244748,62.8,19055,7.2,1983-02-01
Virginia,4058000,2692004,66.3,2487087,61.3,204917,7.6,1983-02-01
Washington,3175000,2043675,64.4,1802183,56.8,241492,11.8,1983-02-01
West Virginia,1468000,762675,52.0,619482,42.2,143193,18.8,1983-02-01
Wisconsin,3538000,2421729,68.4,2138107,60.4,283622,11.7,1983-02-01
Wyoming,362000,262896,72.6,238618,65.9,24278,9.2,1983-02-01
Alabama,2904000,1741024,60.0,1482610,51.1,258414,14.8,1983-03-01
Alaska,313000,226848,72.5,203940,65.2,22908,10.1,1983-03-01
Arizona,2169000,1369809,63.2,1224360,56.4,145449,10.6,1983-03-01
Arkansas,1711000,1025785,60.0,920802,53.8,104983,10.2,1983-03-01
California,18628000,12229197,65.6,10918657,58.6,1310540,10.7,1983-03-01
Los Angeles County,5886000,3796576,64.5,3391737,57.6,404839,10.7,1983-03-01
Colorado,2300000,1649261,71.7,1514401,65.8,134860,8.2,1983-03-01
Connecticut,2427000,1609636,66.3,1501265,61.9,108371,6.7,1983-03-01
Delaware,454000,294006,64.8,270289,59.5,23717,8.1,1983-03-01
District of Columbia,483000,314788,65.2,279333,57.8,35455,11.3,1983-03-01
Florida,8326000,4822130,57.9,4372088,52.5,450042,9.3,1983-03-01
Georgia,4129000,2671425,64.7,2450128,59.3,221297,8.3,1983-03-01
Hawaii,703000,469048,66.7,438590,62.4,30458,6.5,1983-03-01
Idaho,687000,449996,65.5,406611,59.2,43385,9.6,1983-03-01
Illinois,8571000,5603485,65.4,4877393,56.9,726092,13.0,1983-03-01
Indiana,4052000,2564967,63.3,2257782,55.7,307185,12.0,1983-03-01
Iowa,2159000,1418800,65.7,1292941,59.9,125859,8.9,1983-03-01
Kansas,1781000,1190222,66.8,1113378,62.5,76844,6.5,1983-03-01
Kentucky,2715000,1698523,62.6,1494459,55.0,204064,12.0,1983-03-01
Louisiana,3151000,1885756,59.8,1658595,52.6,227161,12.0,1983-03-01
Maine,850000,530586,62.4,483827,56.9,46759,8.8,1983-03-01
Maryland,3240000,2180379,67.3,2012068,62.1,168311,7.7,1983-03-01
Massachusetts,4462000,2975305,66.7,2757568,61.8,217737,7.3,1983-03-01
Michigan,6723000,4278098,63.6,3604206,53.6,673892,15.8,1983-03-01
Minnesota,3081000,2170531,70.4,1981752,64.3,188779,8.7,1983-03-01
Mississippi,1823000,1062597,58.3,926143,50.8,136454,12.8,1983-03-01
Missouri,3720000,2335107,62.8,2087997,56.1,247110,10.6,1983-03-01
Montana,594000,393922,66.3,359266,60.5,34656,8.8,1983-03-01
Nebraska,1171000,790777,67.5,741749,63.3,49028,6.2,1983-03-01
Nevada,667000,485044,72.7,433885,65.1,51159,10.5,1983-03-01
New Hampshire,717000,492336,68.7,461386,64.3,30950,6.3,1983-03-01
New Jersey,5760000,3636016,63.1,3318941,57.6,317075,8.7,1983-03-01
New Mexico,986000,605812,61.4,542343,55.0,63469,10.5,1983-03-01
New York,13523000,7982910,59.0,7244713,53.6,738197,9.2,1983-03-01
New York city,5649000,3050760,54.0,2749777,48.7,300983,9.9,1983-03-01
North Carolina,4472000,2913697,65.2,2624599,58.7,289098,9.9,1983-03-01
North Dakota,485000,319290,65.8,299659,61.8,19631,6.1,1983-03-01
Ohio,8036000,5100351,63.5,4404167,54.8,696184,13.6,1983-03-01
Oklahoma,2403000,1527235,63.6,1392377,57.9,134858,8.8,1983-03-01
Oregon,2005000,1340305,66.8,1190056,59.4,150249,11.2,1983-03-01
Pennsylvania,9169000,5471531,59.7,4782781,52.2,688750,12.6,1983-03-01
Rhode Island,734000,474384,64.6,430673,58.7,43711,9.2,1983-03-01
South Carolina,2331000,1486243,63.8,1317462,56.5,168781,11.4,1983-03-01
South Dakota,502000,333012,66.3,313959,62.5,19053,5.7,1983-03-01
Tennessee,3496000,2157173,61.7,1886497,54.0,270676,12.5,1983-03-01
Texas,11203000,7586596,67.7,6946093,62.0,640503,8.4,1983-03-01
Utah,1040000,683938,65.8,618317,59.5,65621,9.6,1983-03-01
Vermont,390000,263845,67.7,245126,62.9,18719,7.1,1983-03-01
Virginia,4063000,2694133,66.3,2496871,61.5,197262,7.3,1983-03-01
Washington,3177000,2042482,64.3,1804645,56.8,237837,11.6,1983-03-01
West Virginia,1469000,763804,52.0,620621,42.2,143183,18.7,1983-03-01
Wisconsin,3538000,2414961,68.3,2139322,60.5,275639,11.4,1983-03-01
Wyoming,362000,262796,72.6,238185,65.8,24611,9.4,1983-03-01
Alabama,2906000,1744212,60.0,1491185,51.3,253027,14.5,1983-04-01
Alaska,315000,228709,72.6,205971,65.4,22738,9.9,1983-04-01
Arizona,2175000,1372593,63.1,1233163,56.7,139430,10.2,1983-04-01
Arkansas,1713000,1024824,59.8,921064,53.8,103760,10.1,1983-04-01
California,18649000,12233450,65.6,10949144,58.7,1284306,10.5,1983-04-01
Los Angeles County,5895000,3801536,64.5,3402726,57.7,398810,10.5,1983-04-01
Colorado,2305000,1653847,71.8,1522058,66.0,131789,8.0,1983-04-01
Connecticut,2428000,1610408,66.3,1505322,62.0,105086,6.5,1983-04-01
Delaware,455000,294110,64.6,270519,59.5,23591,8.0,1983-04-01
District of Columbia,483000,315903,65.4,280192,58.0,35711,11.3,1983-04-01
Florida,8346000,4842860,58.0,4398475,52.7,444385,9.2,1983-04-01
Georgia,4134000,2671476,64.6,2455442,59.4,216034,8.1,1983-04-01
Hawaii,704000,469639,66.7,439346,62.4,30293,6.5,1983-04-01
Idaho,687000,450628,65.6,408268,59.4,42360,9.4,1983-04-01
Illinois,8573000,5601070,65.3,4886331,57.0,714739,12.8,1983-04-01
Indiana,4053000,2560487,63.2,2260626,55.8,299861,11.7,1983-04-01
Iowa,2159000,1418045,65.7,1295007,60.0,123038,8.7,1983-04-01
Kansas,1782000,1187842,66.7,1113806,62.5,74036,6.2,1983-04-01
Kentucky,2717000,1697668,62.5,1494858,55.0,202810,11.9,1983-04-01
Louisiana,3155000,1894126,60.0,1663577,52.7,230549,12.2,1983-04-01
Maine,851000,532554,62.6,485713,57.1,46841,8.8,1983-04-01
Maryland,3242000,2183333,67.3,2018841,62.3,164492,7.5,1983-04-01
Massachusetts,4465000,2976282,66.7,2763236,61.9,213046,7.2,1983-04-01
Michigan,6720000,4278830,63.7,3621244,53.9,657586,15.4,1983-04-01
Minnesota,3082000,2171677,70.5,1986269,64.4,185408,8.5,1983-04-01
Mississippi,1823000,1063118,58.3,926818,50.8,136300,12.8,1983-04-01
Missouri,3722000,2340785,62.9,2094103,56.3,246682,10.5,1983-04-01
Montana,595000,394571,66.3,359910,60.5,34661,8.8,1983-04-01
Nebraska,1171000,789909,67.5,742301,63.4,47608,6.0,1983-04-01
Nevada,668000,485282,72.6,435244,65.2,50038,10.3,1983-04-01
New Hampshire,718000,493791,68.8,464071,64.6,29720,6.0,1983-04-01
New Jersey,5766000,3642813,63.2,3331704,57.8,311109,8.5,1983-04-01
New Mexico,988000,606926,61.4,544215,55.1,62711,10.3,1983-04-01
New York,13530000,7997761,59.1,7265240,53.7,732521,9.2,1983-04-01
New York city,5655000,3052696,54.0,2752460,48.7,300236,9.8,1983-04-01
North Carolina,4476000,2917105,65.2,2633181,58.8,283924,9.7,1983-04-01
North Dakota,486000,319389,65.7,300155,61.8,19234,6.0,1983-04-01
Ohio,8034000,5096177,63.4,4415335,55.0,680842,13.4,1983-04-01
Oklahoma,2409000,1533032,63.6,1397102,58.0,135930,8.9,1983-04-01
Oregon,2005000,1338945,66.8,1192038,59.5,146907,11.0,1983-04-01
Pennsylvania,9171000,5470596,59.7,4794101,52.3,676495,12.4,1983-04-01
Rhode Island,734000,475246,64.7,432692,58.9,42554,9.0,1983-04-01
South Carolina,2334000,1484178,63.6,1321718,56.6,162460,10.9,1983-04-01
South Dakota,503000,333037,66.2,314423,62.5,18614,5.6,1983-04-01
Tennessee,3498000,2159233,61.7,1893724,54.1,265509,12.3,1983-04-01
Texas,11229000,7601840,67.7,6966048,62.0,635792,8.4,1983-04-01
Utah,1042000,684901,65.7,619697,59.5,65204,9.5,1983-04-01
Vermont,391000,263897,67.5,245662,62.8,18235,6.9,1983-04-01
Virginia,4068000,2698497,66.3,2509506,61.7,188991,7.0,1983-04-01
Washington,3179000,2043447,64.3,1808751,56.9,234696,11.5,1983-04-01
West Virginia,1470000,764709,52.0,622474,42.3,142235,18.6,1983-04-01
Wisconsin,3538000,2409894,68.1,2144181,60.6,265713,11.0,1983-04-01
Wyoming,363000,262080,72.2,237715,65.5,24365,9.3,1983-04-01
Alabama,2908000,1749695,60.2,1501086,51.6,248609,14.2,1983-05-01
Alaska,318000,230426,72.5,207838,65.4,22588,9.8,1983-05-01
Arizona,2181000,1376961,63.1,1243872,57.0,133089,9.7,1983-05-01
Arkansas,1715000,1024917,59.8,922231,53.8,102686,10.0,1983-05-01
California,18671000,12248058,65.6,10992202,58.9,1255856,10.3,1983-05-01
Los Angeles County,5903000,3809046,64.5,3416839,57.9,392207,10.3,1983-05-01
Colorado,2310000,1658779,71.8,1530935,66.3,127844,7.7,1983-05-01
Connecticut,2430000,1612517,66.4,1510921,62.2,101596,6.3,1983-05-01
Delaware,455000,294374,64.7,270954,59.6,23420,8.0,1983-05-01
District of Columbia,483000,316908,65.6,281011,58.2,35897,11.3,1983-05-01
Florida,8366000,4873123,58.2,4435089,53.0,438034,9.0,1983-05-01
Georgia,4139000,2675766,64.6,2463213,59.5,212553,7.9,1983-05-01
Hawaii,706000,470431,66.6,440556,62.4,29875,6.4,1983-05-01
Idaho,688000,451519,65.6,410011,59.6,41508,9.2,1983-05-01
Illinois,8574000,5602934,65.3,4902836,57.2,700098,12.5,1983-05-01
Indiana,4053000,2562821,63.2,2268296,56.0,294525,11.5,1983-05-01
Iowa,2159000,1418937,65.7,1299030,60.2,119907,8.5,1983-05-01
Kansas,1783000,1186643,66.6,1115376,62.6,71267,6.0,1983-05-01
Kentucky,2719000,1698288,62.5,1496714,55.0,201574,11.9,1983-05-01
Louisiana,3160000,1903256,60.2,1670936,52.9,232320,12.2,1983-05-01
Maine,852000,534423,62.7,487757,57.2,46666,8.7,1983-05-01
Maryland,3243000,2187338,67.4,2026742,62.5,160596,7.3,1983-05-01
Massachusetts,4467000,2980657,66.7,2772163,62.1,208494,7.0,1983-05-01
Michigan,6716000,4285474,63.8,3642130,54.2,643344,15.0,1983-05-01
Minnesota,3083000,2173207,70.5,1991654,64.6,181553,8.4,1983-05-01
Mississippi,1824000,1063974,58.3,929011,50.9,134963,12.7,1983-05-01
Missouri,3724000,2347924,63.0,2102799,56.5,245125,10.4,1983-05-01
Montana,596000,395475,66.4,360796,60.5,34679,8.8,1983-05-01
Nebraska,1172000,788844,67.3,743076,63.4,45768,5.8,1983-05-01
Nevada,669000,485403,72.6,436638,65.3,48765,10.0,1983-05-01
New Hampshire,719000,495316,68.9,466877,64.9,28439,5.7,1983-05-01
New Jersey,5772000,3656527,63.3,3350272,58.0,306255,8.4,1983-05-01
New Mexico,990000,608054,61.4,546506,55.2,61548,10.1,1983-05-01
New York,13537000,8019832,59.2,7293924,53.9,725908,9.1,1983-05-01
New York city,5660000,3058554,54.0,2757611,48.7,300943,9.8,1983-05-01
North Carolina,4480000,2925204,65.3,2647154,59.1,278050,9.5,1983-05-01
North Dakota,487000,319476,65.6,300765,61.8,18711,5.9,1983-05-01
Ohio,8032000,5096167,63.4,4431858,55.2,664309,13.0,1983-05-01
Oklahoma,2415000,1538972,63.7,1403257,58.1,135715,8.8,1983-05-01
Oregon,2006000,1337524,66.7,1192903,59.5,144621,10.8,1983-05-01
Pennsylvania,9174000,5474083,59.7,4812224,52.5,661859,12.1,1983-05-01
Rhode Island,735000,476178,64.8,434662,59.1,41516,8.7,1983-05-01
South Carolina,2337000,1482396,63.4,1327200,56.8,155196,10.5,1983-05-01
South Dakota,503000,333262,66.3,315162,62.7,18100,5.4,1983-05-01
Tennessee,3501000,2164866,61.8,1903837,54.4,261029,12.1,1983-05-01
Texas,11256000,7621730,67.7,6992199,62.1,629531,8.3,1983-05-01
Utah,1045000,685948,65.6,621727,59.5,64221,9.4,1983-05-01
Vermont,391000,263964,67.5,246292,63.0,17672,6.7,1983-05-01
Virginia,4073000,2705882,66.4,2524294,62.0,181588,6.7,1983-05-01
Washington,3182000,2047099,64.3,1814753,57.0,232346,11.4,1983-05-01
West Virginia,1471000,765584,52.0,624826,42.5,140758,18.4,1983-05-01
Wisconsin,3538000,2407715,68.1,2151861,60.8,255854,10.6,1983-05-01
Wyoming,363000,260953,71.9,237376,65.4,23577,9.0,1983-05-01
Alabama,2909000,1756511,60.4,1511392,52.0,245119,14.0,1983-06-01
Alaska,320000,231971,72.5,209442,65.5,22529,9.7,1983-06-01
Arizona,2187000,1382566,63.2,1255822,57.4,126744,9.2,1983-06-01
Arkansas,1716000,1026092,59.8,924233,53.9,101859,9.9,1983-06-01
California,18693000,12270288,65.6,11044547,59.1,1225741,10.0,1983-06-01
Los Angeles County,5912000,3817408,64.6,3432874,58.1,384534,10.1,1983-06-01
Colorado,2315000,1664075,71.9,1541146,66.6,122929,7.4,1983-06-01
Connecticut,2431000,1615653,66.5,1517527,62.4,98126,6.1,1983-06-01
Delaware,456000,294858,64.7,271636,59.6,23222,7.9,1983-06-01
District of Columbia,483000,317706,65.8,281695,58.3,36011,11.3,1983-06-01
Florida,8386000,4909574,58.5,4478643,53.4,430931,8.8,1983-06-01
Georgia,4144000,2683779,64.8,2473159,59.7,210620,7.8,1983-06-01
Hawaii,707000,471446,66.7,442079,62.5,29367,6.2,1983-06-01
Idaho,689000,452651,65.7,411856,59.8,40795,9.0,1983-06-01
Illinois,8576000,5606672,65.4,4924334,57.4,682338,12.2,1983-06-01
Indiana,4054000,2570934,63.4,2280036,56.2,290898,11.3,1983-06-01
Iowa,2159000,1421169,65.8,1304437,60.4,116732,8.2,1983-06-01
Kansas,1784000,1186520,66.5,1117692,62.7,68828,5.8,1983-06-01
Kentucky,2721000,1700404,62.5,1500098,55.1,200306,11.8,1983-06-01
Louisiana,3165000,1912254,60.4,1680368,53.1,231886,12.1,1983-06-01
Maine,853000,536114,62.9,489976,57.4,46138,8.6,1983-06-01
Maryland,3245000,2192543,67.6,2035869,62.7,156674,7.1,1983-06-01
Massachusetts,4470000,2987874,66.8,2783585,62.3,204289,6.8,1983-06-01
Michigan,6712000,4294733,64.0,3665121,54.6,629612,14.7,1983-06-01
Minnesota,3084000,2174739,70.5,1997511,64.8,177228,8.1,1983-06-01
Mississippi,1825000,1064665,58.3,932073,51.1,132592,12.5,1983-06-01
Missouri,3727000,2355634,63.2,2113558,56.7,242076,10.3,1983-06-01
Montana,596000,396556,66.5,361887,60.7,34669,8.7,1983-06-01
Nebraska,1173000,787727,67.2,743926,63.4,43801,5.6,1983-06-01
Nevada,670000,485521,72.5,438080,65.4,47441,9.8,1983-06-01
New Hampshire,720000,496963,69.0,469734,65.2,27229,5.5,1983-06-01
New Jersey,5777000,3674751,63.6,3373109,58.4,301642,8.2,1983-06-01
New Mexico,992000,609094,61.4,548925,55.3,60169,9.9,1983-06-01
New York,13544000,8044373,59.4,7327161,54.1,717212,8.9,1983-06-01
New York city,5666000,3066393,54.1,2764568,48.8,301825,9.8,1983-06-01
North Carolina,4484000,2936591,65.5,2664988,59.4,271603,9.2,1983-06-01
North Dakota,487000,319625,65.6,301495,61.9,18130,5.7,1983-06-01
Ohio,8031000,5099119,63.5,4452208,55.4,646911,12.7,1983-06-01
Oklahoma,2421000,1544430,63.8,1410107,58.2,134323,8.7,1983-06-01
Oregon,2006000,1336113,66.6,1192679,59.5,143434,10.7,1983-06-01
Pennsylvania,9176000,5480522,59.7,4834952,52.7,645570,11.8,1983-06-01
Rhode Island,735000,477103,64.9,436533,59.4,40570,8.5,1983-06-01
South Carolina,2339000,1481344,63.3,1333508,57.0,147836,10.0,1983-06-01
South Dakota,504000,333689,66.2,316139,62.7,17550,5.3,1983-06-01
Tennessee,3503000,2173538,62.0,1916398,54.7,257140,11.8,1983-06-01
Texas,11282000,7644471,67.8,7022295,62.2,622176,8.1,1983-06-01
Utah,1048000,687113,65.6,624429,59.6,62684,9.1,1983-06-01
Vermont,392000,264053,67.4,246968,63.0,17085,6.5,1983-06-01
Virginia,4078000,2715738,66.6,2540120,62.3,175618,6.5,1983-06-01
Washington,3184000,2052818,64.5,1822378,57.2,230440,11.2,1983-06-01
West Virginia,1471000,766432,52.1,627437,42.7,138995,18.1,1983-06-01
Wisconsin,3538000,2408733,68.1,2161177,61.1,247556,10.3,1983-06-01
Wyoming,364000,259677,71.3,237319,65.2,22358,8.6,1983-06-01
Alabama,2911000,1763142,60.6,1521360,52.3,241782,13.7,1983-07-01
Alaska,323000,233307,72.2,210722,65.2,22585,9.7,1983-07-01
Arizona,2193000,1388626,63.3,1268448,57.8,120178,8.7,1983-07-01
Arkansas,1718000,1028323,59.9,927141,54.0,101182,9.8,1983-07-01
California,18715000,12295709,65.7,11101896,59.3,1193813,9.7,1983-07-01
Los Angeles County,5920000,3824728,64.6,3449481,58.3,375247,9.8,1983-07-01
Colorado,2320000,1669571,72.0,1552358,66.9,117213,7.0,1983-07-01
Connecticut,2432000,1619408,66.6,1524556,62.7,94852,5.9,1983-07-01
Delaware,456000,295595,64.8,272592,59.8,23003,7.8,1983-07-01
District of Columbia,483000,318192,65.9,282140,58.4,36052,11.3,1983-07-01
Florida,8406000,4947630,58.9,4525209,53.8,422421,8.5,1983-07-01
Georgia,4149000,2693532,64.9,2484725,59.9,208807,7.8,1983-07-01
Hawaii,709000,472579,66.7,443668,62.6,28911,6.1,1983-07-01
Idaho,690000,454012,65.8,413819,60.0,40193,8.9,1983-07-01
Illinois,8577000,5609314,65.4,4948113,57.7,661201,11.8,1983-07-01
Indiana,4054000,2581882,63.7,2294177,56.6,287705,11.1,1983-07-01
Iowa,2159000,1423998,66.0,1310281,60.7,113717,8.0,1983-07-01
Kansas,1785000,1187049,66.5,1120206,62.8,66843,5.6,1983-07-01
Kentucky,2723000,1703144,62.5,1504875,55.3,198269,11.6,1983-07-01
