State/Area,Population,Labor Force,Labor Force %,Employed,Employment of Tot Pop %,Unemployed,Unemployment Rate,Date
Florida,14531697,9198113,63.3,8433606,58.0,764507,8.3,2008-12-01
Georgia,7247260,4773301,65.9,4381976,60.5,391325,8.2,2008-12-01
Hawaii,978390,634791,64.9,596591,61.0,38200,6.0,2008-12-01
Idaho,1142231,755248,66.1,702988,61.5,52260,6.9,2008-12-01
Illinois,9843756,6603955,67.1,6090230,61.9,513725,7.8,2008-12-01
Indiana,4890861,3236984,66.2,2972558,60.8,264426,8.2,2008-12-01
Iowa,2326326,1688816,72.6,1598934,68.7,89882,5.3,2008-12-01
Kansas,2119222,1513104,71.4,1430115,67.5,82989,5.5,2008-12-01
Kentucky,3319100,2045962,61.6,1874818,56.5,171144,8.4,2008-12-01
Louisiana,3372245,2096924,62.2,1972534,58.5,124390,5.9,2008-12-01
Maine,1064068,699094,65.7,650310,61.1,48784,7.0,2008-12-01
Maryland,4375176,3026042,69.2,2853106,65.2,172936,5.7,2008-12-01
Massachusetts,5209753,3470510,66.6,3235212,62.1,235298,6.8,2008-12-01
Michigan,7772501,4870344,62.7,4391564,56.5,478780,9.8,2008-12-01
Minnesota,4066483,2943948,72.4,2747438,67.6,196510,6.7,2008-12-01
Mississippi,2193422,1288234,58.7,1189886,54.2,98348,7.6,2008-12-01
Missouri,4593380,3044195,66.3,2809972,61.2,234223,7.7,2008-12-01
Montana,763677,507892,66.5,476130,62.3,31762,6.3,2008-12-01
Nebraska,1357295,993023,73.2,954045,70.3,38978,3.9,2008-12-01
Nevada,1989039,1364419,68.6,1241905,62.4,122514,9.0,2008-12-01
New Hampshire,1054467,744749,70.6,708878,67.2,35871,4.8,2008-12-01
New Jersey,6742566,4531044,67.2,4218207,62.6,312837,6.9,2008-12-01
New Mexico,1507121,947576,62.9,892860,59.2,54716,5.8,2008-12-01
New York,15312191,9712772,63.4,9062274,59.2,650498,6.7,2008-12-01
New York city,6588973,3959100,60.1,3679023,55.8,280077,7.1,2008-12-01
North Carolina,7064890,4625824,65.5,4203640,59.5,422184,9.1,2008-12-01
North Dakota,501043,370134,73.9,356512,71.2,13622,3.7,2008-12-01
Ohio,8942768,5951557,66.6,5467776,61.1,483781,8.1,2008-12-01
Oklahoma,2757591,1762281,63.9,1679285,60.9,82996,4.7,2008-12-01
Oregon,2988988,1980678,66.3,1793258,60.0,187420,9.5,2008-12-01
Pennsylvania,9914426,6483392,65.4,6052892,61.1,430500,6.6,2008-12-01
Rhode Island,839896,569723,67.8,514644,61.3,55079,9.7,2008-12-01
South Carolina,3465575,2160891,62.4,1962136,56.6,198755,9.2,2008-12-01
South Dakota,614351,448751,73.0,430683,70.1,18068,4.0,2008-12-01
Tennessee,4845237,3061037,63.2,2800344,57.8,260693,8.5,2008-12-01
Texas,17904835,11767135,65.7,11083429,61.9,683706,5.8,2008-12-01
Utah,1952476,1377498,70.6,1302419,66.7,75079,5.5,2008-12-01
Vermont,505873,358836,70.9,338360,66.9,20476,5.7,2008-12-01
Virginia,5960915,4148515,69.6,3935818,66.0,212697,5.1,2008-12-01
Washington,5129048,3511407,68.5,3275669,63.9,235738,6.7,2008-12-01
